Corrida,Beneficio,PromedioTiempoEnCola,TasaDeAtencion,PorcentajeTiempoLibre,UtilizacionEmpleada
890,114600.0000,0.6163,14.7500,38.52,5.03
891,107850.0000,1.0367,14.0000,36.53,7.19
892,119400.0000,1.5658,15.5000,25.91,8.92
893,108450.0000,1.4292,14.8750,39.80,8.22
894,120450.0000,1.1283,15.0000,34.19,7.11
895,110100.0000,0.7784,14.6250,35.60,5.85
896,104400.0000,0.8875,13.2500,37.28,6.87
897,111000.0000,0.6417,13.5000,29.23,5.92
898,130350.0000,0.9691,15.5000,31.04,6.19
899,118950.0000,4.1162,15.0000,13.96,19.92
900,135300.0000,1.8405,16.8750,16.74,9.38
901,101850.0000,1.2813,13.8750,33.34,8.45
902,108900.0000,2.2859,14.7500,25.85,12.33
903,110100.0000,0.4841,14.0000,46.59,4.39
904,95100.0000,1.4633,12.8750,37.14,9.64
905,93750.0000,0.7602,12.6250,38.89,6.41
906,115650.0000,1.3025,15.3750,31.86,7.77
907,130500.0000,1.7498,15.3750,25.48,9.79
908,117600.0000,2.4219,15.1250,29.97,11.89
909,100650.0000,0.8555,14.5000,34.30,6.24
910,102000.0000,4.1090,13.2500,17.71,19.01
911,117600.0000,1.1841,16.0000,29.61,6.63
912,118650.0000,0.8675,14.6250,36.52,6.23
913,101850.0000,0.8117,14.0000,37.26,6.17
914,106350.0000,0.5233,14.0000,43.68,4.64
915,109200.0000,0.6571,15.0000,39.12,5.08
916,126900.0000,3.1016,16.0000,19.17,14.61
917,121950.0000,6.0561,15.3750,10.74,27.01
918,117450.0000,1.9946,14.6250,25.97,11.15
919,115200.0000,0.9776,14.7500,31.09,6.78
920,93000.0000,1.3529,12.6250,33.70,9.68
921,115950.0000,1.2628,14.5000,25.62,8.33
922,116100.0000,1.3755,14.3750,25.90,8.62
923,120600.0000,2.3779,15.8750,16.29,12.11
924,126150.0000,3.2795,15.8750,16.90,15.62
925,115200.0000,1.5136,14.8750,23.23,9.17
926,138450.0000,2.5952,17.6250,18.42,11.62
927,116100.0000,1.4870,16.2500,23.23,8.17
928,132450.0000,5.1166,17.0000,10.94,21.22
929,108450.0000,0.7562,13.7500,40.25,5.87
930,134100.0000,3.1008,18.5000,17.68,12.74
931,130650.0000,2.0662,16.8750,15.82,10.34
932,115800.0000,2.2240,15.6250,25.02,11.45
933,111600.0000,0.7852,15.2500,35.49,5.51
934,128550.0000,2.2944,16.0000,23.46,11.52
935,119100.0000,1.6636,15.1250,30.29,8.59
936,107100.0000,0.8700,14.7500,32.74,6.28
937,119400.0000,2.0265,15.1250,21.76,11.16
938,118950.0000,1.6412,15.8750,24.61,9.06
939,115050.0000,1.3319,16.2500,25.90,7.66
940,120900.0000,1.5214,16.3750,28.19,8.21
941,103200.0000,0.4413,13.2500,42.73,4.48
942,101250.0000,1.1969,13.5000,37.08,8.13
943,111150.0000,2.3745,13.8750,32.64,13.16
944,117450.0000,1.6540,14.6250,18.74,9.70
945,114600.0000,1.0253,13.7500,37.72,7.11
946,121650.0000,1.3157,15.7500,27.79,7.63
947,130200.0000,4.7057,17.3750,17.09,19.10
948,107100.0000,0.4986,14.0000,41.44,4.58
949,109650.0000,1.1337,14.2500,41.69,7.30
950,104400.0000,0.9450,13.6250,39.94,6.78
951,101700.0000,0.6868,14.2500,41.08,5.38
952,127050.0000,7.2641,16.1250,2.52,29.63
953,114450.0000,0.8380,15.0000,37.33,5.78
954,106200.0000,0.5708,12.8750,36.59,5.62
955,108300.0000,0.7988,13.1250,41.68,6.06
956,125550.0000,1.9107,15.5000,20.36,10.60
957,113550.0000,1.4279,13.8750,32.11,9.15
958,117450.0000,1.1803,14.8750,28.09,7.66
959,111750.0000,1.5991,14.3750,26.63,9.65
960,115200.0000,2.0091,14.3750,24.88,11.22
961,133200.0000,6.7542,16.8750,10.97,27.22
962,123300.0000,1.9199,15.5000,28.66,10.05
963,112950.0000,2.4837,15.0000,26.64,12.89
964,107550.0000,1.8883,13.6250,40.58,10.94
965,109200.0000,1.3353,14.8750,32.94,8.07
966,116400.0000,0.8712,14.7500,41.39,5.87
967,95100.0000,1.8529,13.1250,35.89,9.91
968,109350.0000,1.1444,14.5000,39.20,7.28
969,126600.0000,2.1785,15.8750,17.13,11.09
970,117450.0000,3.3577,15.2500,20.99,16.30
971,109500.0000,0.7782,14.3750,35.87,5.60
972,125100.0000,2.4696,16.6250,8.30,11.94
